baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000003283.15	351.119969356044	3.50773354626774	0.187066056874739	18.7513095901548	1.88882044197164e-78	2.91569036135698e-76
ENSMUSG00000098678.1	270.802246891474	5.94897952901834	0.318796342759589	18.6607521200599	1.03267453917754e-77	1.58228687725092e-75
ENSMUSG00000035852.11	755.108454237254	8.82527209715001	0.472995133303731	18.6582725185946	1.08171999794107e-77	1.64524839392729e-75
ENSMUSG00000036473.16	1493.54791601658	1.85070252574868	0.0993842719543724	18.6216841896104	2.14364956710276e-77	3.23659790478252e-75
ENSMUSG00000027544.16	366.329608430287	7.09610269284839	0.382721465628645	18.5411672198542	9.6112888721003e-77	1.44064862550286e-74
ENSMUSG00000031298.15	1967.54705498635	-1.95199421390187	0.10548301523191	-18.505294047675	1.87154784284616e-76	2.78510554886854e-74
ENSMUSG00000026450.14	354.229238017549	7.04758112494607	0.381753178042406	18.461093529294	4.24656385035108e-76	6.27429808889372e-74
ENSMUSG00000028111.4	1432.82286316867	-1.72445014932181	0.0936532078806493	-18.4131455648527	1.03059154350155e-75	1.51189972179642e-73
ENSMUSG00000023092.16	1690.7720329246	-1.72119905469665	0.0935897978627207	-18.3908833441583	1.5542690762883e-75	2.26408843964954e-73
ENSMUSG00000047501.3	1465.27553115503	10.2982473128572	0.560685259198767	18.3672517582747	2.40274104229646e-75	3.47557331887428e-73
ENSMUSG00000087166.9	1521.57803171729	10.3510820748724	0.563644240930879	18.3645663757288	2.5245808261005e-75	3.62645516582561e-73
ENSMUSG00000020782.18	792.419538508014	3.31650830585607	0.180744730820542	18.3491285792943	3.35449211737003e-75	4.78535651364131e-73
ENSMUSG00000006342.15	314.472148073132	3.44878912255337	0.188732508093634	18.2734238917779	1.34726250081472e-74	1.90877567324332e-72
ENSMUSG00000033361.13	581.544027878309	2.41381927248691	0.13219264766869	18.2598602498422	1.72732695293263e-74	2.43059578376949e-72
ENSMUSG00000039621.13	359.952148605878	3.67950431170444	0.202469126490702	18.1731623753185	8.4202452994279e-74	1.17684306769369e-71
ENSMUSG00000014846.12	534.460657041858	3.64937407021673	0.200917535932201	18.1635418396143	1.00337519193729e-73	1.39294066075321e-71
ENSMUSG00000031803.8	247.89205528726	5.60869012224558	0.309850623408599	18.101271059408	3.11398188105464e-73	4.29418101397435e-71
ENSMUSG00000000120.6	240.79841936737	5.2958645405746	0.292820406643793	18.0857085791048	4.13024518732692e-73	5.65788885429519e-71
ENSMUSG00000051375.15	328.545882064802	2.84334511116484	0.157834220820652	18.0147568529878	1.49235271531927e-72	2.03087604713021e-70
ENSMUSG00000028581.17	347.487124630395	7.11304321332586	0.395177831576478	17.9996007998472	1.96228221580934e-72	2.65292860353046e-70
ENSMUSG00000024529.14	35327.9962599627	-1.57649437605859	0.0879607083903798	-17.9227112299042	7.84117349084452e-72	1.05321216661116e-69
ENSMUSG00000027220.2	951.094678187605	-2.22325973746703	0.124092955111004	-17.9160834350208	8.83324276711053e-72	1.17881049443665e-69
ENSMUSG00000051076.8	213.853654237179	4.72067760357777	0.263635649151137	17.9060670238549	1.0574893798414e-71	1.40219024500124e-69
ENSMUSG00000020173.17	704.97423741639	2.1848309364917	0.12205392587335	17.9005379864536	1.16788281357681e-71	1.53870420374753e-69
ENSMUSG00000021895.10	527.84080946623	2.5354556440005	0.141780671570691	17.8829428293146	1.6015596018518e-71	2.09672533951294e-69
ENSMUSG00000073722.3	562.577641787935	8.25877524169456	0.462072871426978	17.8733177219207	1.9033050701589e-71	2.47609216202748e-69
ENSMUSG00000026981.15	4900.69466708392	-1.6800179786734	0.0940198334413068	-17.8687614855452	2.06528853902526e-71	2.6700308393586e-69
ENSMUSG00000042306.11	674.269812305874	8.66026670194237	0.486268558146121	17.8096374048104	5.94939768987597e-71	7.64368268416674e-69
ENSMUSG00000011179.8	2561.63910944567	1.53329822072284	0.0861003640817149	17.8082664002168	6.09691342208263e-71	7.78485519356661e-69
ENSMUSG00000000889.8	230.108641186264	5.19117084822672	0.292590350978495	17.7421122428206	1.98337264013969e-70	2.51693638412819e-68
ENSMUSG00000026249.10	14421.7649535111	-1.90640130477222	0.107557775910466	-17.7244396198669	2.7160607818043e-70	3.42571446778182e-68
ENSMUSG00000030091.17	509.783552192142	8.11863922695325	0.458113332510896	17.7219012213755	2.84144687300139e-70	3.56214112533538e-68
ENSMUSG00000002228.7	239.421739599146	3.85874717247371	0.218318180171658	17.6748778752172	6.54820595711982e-70	8.15961688090503e-68
ENSMUSG00000025357.8	848.92744027239	2.07368063327469	0.117665149466461	17.6235753974524	1.62408323106858e-69	2.01162644518884e-67
ENSMUSG00000044641.7	280.8727020406	3.02677201498585	0.171848120999104	17.6130643581586	1.95565105266864e-69	2.40789535859827e-67
ENSMUSG00000044393.15	315.96403752153	6.97241516919656	0.398035134020028	17.51708473264	1.06125983426487e-68	1.29894435927627e-66
ENSMUSG00000018411.17	222.613066535057	5.18098613799202	0.296356934779111	17.4822503878766	1.95623940220389e-68	2.38028306085809e-66
ENSMUSG00000024222.17	762.793491826447	2.10859060797584	0.120809427154297	17.4538581768355	3.21747064826664e-68	3.89201054733306e-66
ENSMUSG00000023039.17	500.651994340989	3.38301083082043	0.193846792689804	17.4519824851266	3.32489672360197e-68	3.99857492602947e-66
ENSMUSG00000036553.16	213.608972130295	3.4632511290192	0.198504487509499	17.4467145426799	3.64610955790252e-68	4.35952463613952e-66
ENSMUSG00000028392.15	269.257763514546	6.47832788424372	0.371423826091147	17.4418748318369	3.96839491971051e-68	4.71760051231102e-66
ENSMUSG00000038028.9	837.460789150888	2.38061523102283	0.136598979123421	17.4277673691242	5.07906259135319e-68	6.00345198297948e-66
ENSMUSG00000041649.13	472.843742516539	3.30464634728871	0.189644966510392	17.4254366361347	5.29030738255086e-68	6.21761410273094e-66
ENSMUSG00000037465.10	1633.5917617719	1.81778663019821	0.104432179795527	17.4063840643502	7.38005514241166e-68	8.62465766219125e-66
ENSMUSG00000078670.3	299.479412009863	2.77802460751372	0.159628679485786	17.4030419625258	7.82356402975966e-68	9.09159673907745e-66
ENSMUSG00000050296.14	288.465802170492	6.65671127094615	0.382714924659435	17.3933934687019	9.2586455408206e-68	1.06991666487081e-65
ENSMUSG00000054423.14	202.525755007528	4.24760440194742	0.245493038610487	17.3023415490283	4.51652821778801e-67	5.19024367694139e-65
ENSMUSG00000092035.8	1371.59685578291	1.6333346163501	0.0944635562709282	17.2906322906749	5.53418970461927e-67	6.32456983646682e-65
ENSMUSG00000022596.3	1256.06902206233	2.36845438704144	0.137527774446344	17.2216441120807	1.82722988708328e-66	2.07671704474273e-64
ENSMUSG00000032420.8	1357.36790006225	2.44586393604081	0.142049769541349	17.2183590578009	1.93393974553494e-66	2.18598599105958e-64
ENSMUSG00000049044.16	223.949786752588	5.50579382298814	0.319770032988682	17.2179793444966	1.94666784959704e-66	2.18841437331058e-64
ENSMUSG00000041605.16	270.760829083142	2.97673947543732	0.173671781753037	17.1400295741209	7.46127145725282e-66	8.34250811314997e-64
ENSMUSG00000052397.8	2218.19499166317	1.91180038570032	0.11154475786323	17.1393118092063	7.55394306824464e-66	8.40071571863658e-64
ENSMUSG00000092060.4	274.298468750077	4.31417501090456	0.25189666931955	17.1267648062139	9.37236430786837e-66	1.03672382731688e-63
ENSMUSG00000014602.15	2159.06588729884	-1.76807646440857	0.103402109024225	-17.0990367710425	1.50877314356578e-65	1.66005172737543e-63
ENSMUSG00000038235.4	1182.35387390886	2.21703741183161	0.129689346782091	17.0949847989964	1.61738208790279e-65	1.77013484064917e-63
ENSMUSG00000035773.6	203.48877098794	4.55926898268746	0.267572486170313	17.0393789284651	4.1915911762391e-65	4.56331913055293e-63
